cylinders,displacement,horsepower,weight,acceleration,model_year,power_to_weight,displacement_per_cyl,log_weight,log_displacement,log_horsepower,weight_class_enc,era_enc,origin_2,origin_3,brand_enc,brand_buick,brand_chevrolet,brand_datsun,brand_dodge,brand_ford,brand_other,brand_plymouth,brand_pontiac,brand_toyota,brand_volkswagen,mpg
8,307.0,130.0,3504,12.0,70,0.037100456621004564,38.375,8.161660452056282,5.726847747587197,4.867534450455582,2,0,0,0,chevrolet,0,1,0,0,0,0,0,0,0,0,18.0
8,350.0,165.0,3693,11.5,70,0.04467912266450041,43.75,8.214194414852564,5.857933154483459,5.10594547390058,2,0,0,0,buick,1,0,0,0,0,0,0,0,0,0,15.0
8,318.0,150.0,3436,11.0,70,0.043655413271245634,39.75,8.142063283104147,5.762051382780177,5.0106352940962555,1,0,0,0,plymouth,0,0,0,0,0,0,1,0,0,0,18.0
8,304.0,150.0,3433,12.0,70,0.043693562481794346,38.0,8.141189793457691,5.717027701406222,5.0106352940962555,1,0,0,0,amc,0,0,0,0,0,0,0,0,0,0,16.0
8,302.0,140.0,3449,10.5,70,0.04059147579008408,37.75,8.145839612936841,5.71042701737487,4.941642422609304,1,0,0,0,ford,0,0,0,0,1,0,0,0,0,0,17.0
8,429.0,198.0,4341,10.0,70,0.04561161022805805,53.625,8.375860015299594,6.061456918928017,5.288267030694535,2,0,0,0,ford,0,0,0,0,1,0,0,0,0,0,15.0
8,454.0,220.0,4354,9.0,70,0.050528249885163065,56.75,8.378850241794492,6.118097198041348,5.393627546352362,2,0,0,0,chevrolet,0,1,0,0,0,0,0,0,0,0,14.0
8,440.0,215.0,4312,8.5,70,0.049860853432282005,55.0,8.369157112588834,6.0867747269123065,5.3706380281276624,2,0,0,0,plymouth,0,0,0,0,0,0,1,0,0,0,14.0
8,455.0,225.0,4425,10.0,70,0.05084745762711865,56.875,8.39502555744203,6.12029741895095,5.41610040220442,2,0,0,0,pontiac,0,0,0,0,0,0,0,1,0,0,14.0
8,390.0,190.0,3850,8.5,70,0.04935064935064935,48.75,8.25582842728183,5.966146739123692,5.247024072160486,2,0,0,0,amc,0,0,0,0,0,0,0,0,0,0,15.0
8,383.0,170.0,3563,10.0,70,0.04771260174010665,47.875,8.178358165605836,5.948034989180646,5.135798437050262,2,0,0,0,dodge,0,0,0,1,0,0,0,0,0,0,15.0
8,340.0,160.0,3609,8.0,70,0.04433361041839845,42.5,8.19118600464279,5.8289456176102075,5.075173815233827,2,0,0,0,plymouth,0,0,0,0,0,0,1,0,0,0,14.0
8,400.0,150.0,3761,9.5,70,0.03988300983780909,50.0,8.232440158470336,5.991464547107982,5.0106352940962555,2,0,0,0,chevrolet,0,1,0,0,0,0,0,0,0,0,15.0
8,455.0,225.0,3086,10.0,70,0.0729099157485418,56.875,8.034631032923107,6.12029741895095,5.41610040220442,1,0,0,0,buick,1,0,0,0,0,0,0,0,0,0,14.0
4,113.0,95.0,2372,15.0,70,0.04005059021922428,28.25,7.771488760117616,4.727387818712341,4.553876891600541,0,0,0,1,toyota,0,0,0,0,0,0,0,0,1,0,24.0
6,198.0,95.0,2833,15.5,70,0.03353335686551359,33.0,7.949091499830517,5.288267030694535,4.553876891600541,1,0,0,0,plymouth,0,0,0,0,0,0,1,0,0,0,22.0
6,199.0,97.0,2774,15.5,70,0.034967555875991346,33.166666666666664,7.928045600874777,5.293304824724492,4.574710978503383,1,0,0,0,amc,0,0,0,0,0,0,0,0,0,0,18.0
6,200.0,85.0,2587,16.0,70,0.032856590645535366,33.333333333333336,7.8582541821860294,5.298317366548036,4.442651256490317,1,0,0,0,ford,0,0,0,0,1,0,0,0,0,0,21.0
4,97.0,88.0,2130,14.5,70,0.04131455399061033,24.25,7.6638772587034705,4.574710978503383,4.477336814478207,0,0,0,1,datsun,0,0,1,0,0,0,0,0,0,0,27.0
4,97.0,46.0,1835,20.5,70,0.025068119891008173,24.25,7.51479976048867,4.574710978503383,3.828641396489095,0,0,1,0,volkswagen,0,0,0,0,0,0,0,0,0,1,26.0
4,110.0,87.0,2672,17.5,70,0.03255988023952096,27.5,7.890582534656536,4.700480365792417,4.465908118654584,1,0,1,0,other,0,0,0,0,0,1,0,0,0,0,25.0
4,107.0,90.0,2430,14.5,70,0.037037037037037035,26.75,7.795646536334594,4.672828834461906,4.499809670330265,0,0,1,0,other,0,0,0,0,0,1,0,0,0,0,24.0
4,104.0,95.0,2375,17.5,70,0.04,26.0,7.772752716468742,4.6443908991413725,4.553876891600541,0,0,1,0,other,0,0,0,0,0,1,0,0,0,0,25.0
4,121.0,113.0,2234,12.5,70,0.050581915846016116,30.25,7.711548979629146,4.795790545596741,4.727387818712341,0,0,1,0,other,0,0,0,0,0,1,0,0,0,0,26.0
6,199.0,90.0,2648,15.0,70,0.033987915407854986,33.166666666666664,7.881559917056899,5.293304824724492,4.499809670330265,1,0,0,0,amc,0,0,0,0,0,0,0,0,0,0,21.0
8,360.0,215.0,4615,14.0,70,0.04658721560130011,45.0,8.437067146936952,5.886104031450156,5.3706380281276624,3,0,0,0,ford,0,0,0,0,1,0,0,0,0,0,10.0
8,307.0,200.0,4376,15.0,70,0.04570383912248629,38.375,8.383890344101816,5.726847747587197,5.298317366548036,2,0,0,0,chevrolet,0,1,0,0,0,0,0,0,0,0,10.0
8,318.0,210.0,4382,13.5,70,0.04792332268370607,39.75,8.385260520155413,5.762051382780177,5.3471075307174685,2,0,0,0,dodge,0,0,0,1,0,0,0,0,0,0,11.0
8,304.0,193.0,4732,18.5,70,0.04078613693998309,38.0,8.462103225098277,5.717027701406222,5.262690188904886,3,0,0,0,other,0,0,0,0,0,1,0,0,0,0,9.0
4,97.0,88.0,2130,14.5,71,0.04131455399061033,24.25,7.6638772587034705,4.574710978503383,4.477336814478207,0,0,0,1,datsun,0,0,1,0,0,0,0,0,0,0,27.0
4,140.0,90.0,2264,15.5,71,0.03975265017667844,35.0,7.724888439323074,4.941642422609304,4.499809670330265,0,0,0,0,chevrolet,0,1,0,0,0,0,0,0,0,0,28.0
4,113.0,95.0,2228,14.0,71,0.042639138240574505,28.25,7.708859601047175,4.727387818712341,4.553876891600541,0,0,0,1,toyota,0,0,0,0,0,0,0,0,1,0,25.0
